OID_,___1,disblty,dscnnct,immgrnt,poverty,veterns,crtkrs_p,FI,pp_v_18,pp_v_16,crtkrs_c,z_dsblt,z_dscnn,z_mmgrn,z_pvrty,z_vtrns,z_crtkr,z_FI,UTsum,UTindex,Cns_T_N,Mncplty,NAME_y,area,ar_nm_1,are_nmb,comarea,comar_d,Cmmnt_A,perimtr,shape_r,shap_ln,Gegrphy,area_UT,UT_clss,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSA,LSAD,CLASSFP,PCICBSA,PCINECT,MTFCC,FUNCSTA,ALAND,AWATER,INTPTLA,INTPTLO,Name2,Shp_Lng,Shap_Ar,layer,path
0,1.000000000000000,128.000000000000000,78.212000000000003,54.564111277516602,185.000000000000000,16.000000000000000,16.306864000000001,27.601858122588901,2490.000000000000000,2644.333355000000211,40604.091359999998531,0.360716948330465,-0.166272573888515,-0.841805199098823,-0.043140317645430,0.117769609781879,0.123262834789065,-0.350237767541278,41093.469329400002607,0.121100664762086,"Census Tract 8530.04, Kane County, Illinois",North Aurora, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,North Aurora,-0.257851511338125,Low, , , , ,North Aurora, , , , , , , ,0.000000000000000,0.000000000000000, , ,North Aurora,0.439767534640000,0.002196710240000,geographies,/Users/milesshapey/Library/CloudStorage/Box-Box/EDA Center (Voorhees Team Folder)/Ecosystem/04_Output/01_Internal/Mapping Layers/geographies (2)/geographies.shx|layername=geographies
1,2.000000000000000,20.000000000000000,138.877999999999986,80.110502191211495,25.000000000000000,0.000000000000000,10.401868800000001,23.949337701012499,2721.000000000000000,2852.666772999999921,28303.485004800000752,-0.913784778550572,0.360572227872490,-0.682313777339963,-0.887653756681891,-0.582689954737931,-0.343450820876049,-0.408185854160135,28591.422844699998677,-0.341909634280849,"Census Tract 8712.08, McHenry County, Illinois",Crystal Lake, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,Crystal Lake,-0.275203075226224,Low, , , , ,Crystal Lake, , , , , , , ,0.000000000000000,0.000000000000000, , ,Crystal Lake,1.456222230230000,0.005535739920000,geographies,/Users/milesshapey/Library/CloudStorage/Box-Box/EDA Center (Voorhees Team Folder)/Ecosystem/04_Output/01_Internal/Mapping Layers/geographies (2)/geographies.shx|layername=geographies
2,3.000000000000000,280.000000000000000,145.741999999999990,260.943336274742990,439.000000000000000,0.000000000000000,9.517464000000000,77.394598836867800,5572.000000000000000,5451.666753999999855,53031.309408000000985,0.327321671617601,-0.244686572923549,-0.258715845182069,0.015092903492791,-0.582689954737931,-0.413351605434819,-0.279057333997451,54234.389343100003316,-0.404670728516756,"Census Tract 2505, Cook County, Illinois",Chicago,"Census Tract 2505, Cook County, Illinois",0.000000000000000,25.000000000000000,25.000000000000000,0.000000000000000,0.000000000000000,AUSTIN,0.000000000000000,199254203.426999986171722,75226.474916699997266,Austin,0.793683574217443,Very Low, , , , , , , , , , , , ,0.000000000000000,0.000000000000000, , ,AUSTIN,0.239286435400000,0.002008260910000,geographies,/Users/milesshapey/Library/CloudStorage/Box-Box/EDA Center (Voorhees Team Folder)/Ecosystem/04_Output/01_Internal/Mapping Layers/geographies (2)/geographies.shx|layername=geographies
3,4.000000000000000,137.000000000000000,44.850000000000001,32.314754306827801,418.000000000000000,28.000000000000000,26.274487199999999,66.228218152959897,1837.000000000000000,1840.333339000000024,48266.232986399998481,1.031086406192310,-0.309841663667843,-0.907654045256936,1.944587718871840,1.078851989951820,0.911074798118755,0.283377386362587,48992.625958899996476,0.917158297146692,"Census Tract 3904, Cook County, Illinois",Chicago,"Census Tract 3904, Cook County, Illinois",0.000000000000000,39.000000000000000,39.000000000000000,0.000000000000000,0.000000000000000,KENWOOD,0.000000000000000,29071741.928300000727177,23325.167906200000289,Kenwood,0.196865873617786,Average, , , , , , , , , , , , ,0.000000000000000,0.000000000000000, , ,KENWOOD,0.076661579190000,0.000292615800000,geographies,/Users/milesshapey/Library/CloudStorage/Box-Box/EDA Center (Voorhees Team Folder)/Ecosystem/04_Output/01_Internal/Mapping Layers/geographies (2)/geographies.shx|layername=geographies
4,5.000000000000000,3.000000000000000,174.051999999999992,90.065082039126395,4.000000000000000,0.000000000000000,4.462809600000000,24.637735822718501,3583.000000000000000,3715.333427000000029,15990.246796800000084,-1.102201437321730,0.309928421720781,-0.764566086973577,-0.992345553078934,-0.582689954737931,-0.812856796082180,-0.457047794774771,16286.001614700000573,-0.800149400889110,"Census Tract 505, Cook County, Illinois",Chicago,"Census Tract 505, Cook County, Illinois",0.000000000000000,5.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,NORTH CENTER,0.000000000000000,57054167.850000001490116,31391.669754200000170,North Center,-0.844049046788228,Very Low, , , , , , , , , , , , ,0.000000000000000,0.000000000000000, , ,NORTH CENTER,0.096669040600000,0.000575510100000,geographies,/Users/milesshapey/Library/CloudStorage/Box-Box/EDA Center (Voorhees Team Folder)/Ecosystem/04_Output/01_Internal/Mapping Layers/geographies (2)/geographies.shx|layername=geographies
5,6.000000000000000,18.000000000000000,28.611999999999998,300.488788429246995,124.000000000000000,0.000000000000000,15.611917200000001,28.480083030875601,1789.000000000000000,2067.666686999999911,27929.719870799999626,-0.835349637340258,-0.600275438539126,1.828259037837900,-0.107795602189064,-0.582689954737931,0.068336259824063,-0.227549501480427,28429.300742300001730,0.084628366390165,"Census Tract 8133.02, Cook County, Illinois",Cicero,"Census Tract 8133.02, Cook County, Illinois",0.000000000000000,29.000000000000000,29.000000000000000,0.000000000000000,0.000000000000000,NORTH LAWNDALE,0.000000000000000,89487422.024200007319450,44959.459662699999171,Cicero,0.042697636935114,Low, , , , ,Cicero, , , , , , , ,0.000000000000000,0.000000000000000, , ,Cicero,0.180629445530000,0.001646725980000,geographies,/Users/milesshapey/Library/CloudStorage/Box-Box/EDA Center (Voorhees Team Folder)/Ecosystem/04_Output/01_Internal/Mapping Layers/geographies (2)/geographies.shx|layername=geographies
6,7.000000000000000,96.000000000000000,134.550000000000011,243.118315399050005,202.000000000000000,4.000000000000000,14.070408000000000,55.599196721311500,2277.000000000000000,2378.000044999999773,32038.319016000001284,0.093266740865032,0.578342877435267,0.905547539610715,0.143845482345793,-0.391194092237456,-0.053500146405937,-0.011884167341610,32773.586528100000578,-0.042116192020636,"Census Tract 2004.01, Cook County, Illinois",Chicago,"Census Tract 2004.01, Cook County, Illinois",0.000000000000000,20.000000000000000,20.000000000000000,0.000000000000000,0.000000000000000,HERMOSA,0.000000000000000,32602059.405499998480082,27179.017437800001062,Hermosa,-0.199782317058803,Low, , , , , , , , , , , , ,0.000000000000000,0.000000000000000, , ,HERMOSA,0.083334637000000,0.000328744100000,geographies,/Users/milesshapey/Library/CloudStorage/Box-Box/EDA Center (Voorhees Team Folder)/Ecosystem/04_Output/01_Internal/Mapping Layers/geographies (2)/geographies.shx|layername=geographies
7,8.000000000000000,229.000000000000000,189.433999999999997,117.624116153681996,404.000000000000000,0.000000000000000,20.608699999999999,171.885834001988002,2394.000000000000000,2506.333391000000120,49337.227800000000570,1.640854150932230,1.102281449656650,-0.278718207781332,1.182045140193860,-0.582689954737931,0.463267447431560,1.190537928503400,50449.171750200002862,0.477516177050472,"Census Tract 8259, Cook County, Illinois",Calumet City, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,Calumet City,0.514075272253860,Average, , , , ,Calumet City, , , , , , , ,0.000000000000000,0.000000000000000, , ,Calumet City,0.355217307560000,0.002048882110000,geographies,/Users/milesshapey/Library/CloudStorage/Box-Box/EDA Center (Voorhees Team Folder)/Ecosystem/04_Output/01_Internal/Mapping Layers/geographies (2)/geographies.shx|layername=geographies
8,9.000000000000000,53.000000000000000,87.721999999999994,141.473289857406002,236.000000000000000,30.000000000000000,3.286560000000000,12.062597225962801,2694.000000000000000,2805.333368000000064,8853.992640000000392,-0.557282966618486,-0.119602629810504,-0.203786061373389,0.129433228684839,0.631218950923487,-0.905824145283519,-0.517921743467842,9414.250527079999301,-0.854638723164352,"Census Tract 704, Cook County, Illinois",Chicago,"Census Tract 704, Cook County, Illinois",0.000000000000000,7.000000000000000,7.000000000000000,0.000000000000000,0.000000000000000,LINCOLN PARK,0.000000000000000,88316400.472800001502037,49478.427771399998164,Lincoln Park,-0.832659069436843,Very Low, , , , , , , , , , , , ,0.000000000000000,0.000000000000000, , ,LINCOLN PARK,0.167888474250000,0.000890502440000,geographies,/Users/milesshapey/Library/CloudStorage/Box-Box/EDA Center (Voorhees Team Folder)/Ecosystem/04_Output/01_Internal/Mapping Layers/geographies (2)/geographies.shx|layername=geographies
9,10.000000000000000,51.000000000000000,57.143999999999998,188.951287943083003,71.000000000000000,0.000000000000000,10.680113400000000,34.672515496688703,1563.000000000000000,1597.333339999999907,16693.017244200000277,-0.182465835866862,0.004616910942213,1.249339801826330,-0.417626388431383,-0.582689954737931,-0.321459176507722,-0.068589097297567,17095.785047599998506,-0.302479866042649,"Census Tract 8229, Cook County, Illinois",Bridgeview, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,Bridgeview,0.309966772307736,Low, , , , ,Bridgeview, , , , , , , ,0.000000000000000,0.000000000000000, , ,Bridgeview,0.257182371100000,0.001158432330000,geographies,/Users/milesshapey/Library/CloudStorage/Box-Box/EDA Center (Voorhees Team Folder)/Ecosystem/04_Output/01_Internal/Mapping Layers/geographies (2)/geographies.shx|layername=geographies
